# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
# ./cyclasar filter 0 0.001 10 sar-1880-2021.tsv filtered-sar-1880-2021.tsv
t/a	At/µhsp
1959.228759766	2961.377191753
1959.231567383	2959.333401700
1959.234252930	2957.284728834
1959.236938477	2955.230196593
1959.239746094	2953.170049118
1959.242431641	2951.105262971
1959.245239258	2949.034373308
1959.247924805	2946.958112552
1959.250732422	2944.876724843
1959.253417969	2942.790698461
1959.256103516	2940.698080283
1959.258911133	2938.600091011
1959.261596680	2936.497463067
1959.264404297	2934.389708170
1959.267089844	2932.275605617
1959.269897461	2930.156131970
1959.272583008	2928.031531370
1959.275390625	2925.902047957
1959.278076172	2923.766705169
1959.280761719	2921.625991288
1959.283569336	2919.480150453
1959.286254883	2917.328938525
1959.289062500	2915.171378941
1959.291748047	2913.009668966
1959.294555664	2910.842587897
1959.297241211	2908.669403312
1959.300048828	2906.491824196
1959.302734375	2904.307897424
1959.305419922	2902.118843699
1959.308227539	2899.924663021
1959.310913086	2897.725355390
1959.313720703	2895.519944243
1959.316406250	2893.310138564
1959.319213867	2891.094229370
1959.321899414	2888.873437364
1959.324707031	2886.647274264
1959.327392578	2884.415495929
1959.330078125	2882.179078923
1959.332885742	2879.936802542
1959.335571289	2877.688910926
1959.338378906	2875.436380638
1959.341064453	2873.178479257
1959.343872070	2870.914718500
1959.346557617	2868.646074932
1959.349365234	2866.372060269
1959.352050781	2864.092430372
1959.354736328	2861.807917662
1959.357543945	2859.518033859
1959.360229492	2857.222778962
1959.363037109	2854.922397112
1959.365722656	2852.616888309
1959.368530273	2850.305764271
1959.371215820	2847.989757421
1959.374023438	2845.667891196
1959.376708984	2843.341386299
1959.379394531	2841.009266168
1959.382202148	2838.671774942
1959.384887695	2836.329645045
1959.387695312	2833.981899914
1959.390380859	2831.628539548
1959.393188477	2829.270784651
1959.395874023	2826.907170379
1959.398681641	2824.538917435
1959.401367188	2822.164560976
1959.404052734	2819.785809985
1959.406860352	2817.401932041
1959.409545898	2815.011706441
1959.412353516	2812.618307013
1959.415039062	2810.217827506
1959.417846680	2807.812953469
1959.420532227	2805.402464197
1959.423339844	2802.987824534
1959.426025391	2800.567325496
1959.428710938	2798.141699506
1959.431518555	2795.710946562
1959.434204102	2793.275066665
1959.437011719	2790.834059815
1959.439697266	2788.387681871
1959.442504883	2785.936665255
1959.445190430	2783.480033405
1959.447998047	2781.018762883
1959.450683594	2778.552365408
1959.453369141	2776.080352698
1959.456176758	2773.603457176
1959.458862305	2771.121678842
1959.461669922	2768.634773554
1959.464355469	2766.142985454
1959.467163086	2763.645826260
1959.469848633	2761.143784254
1959.472656250	2758.636615294
1959.475341797	2756.124075241
1959.478027344	2753.606896516
1959.480834961	2751.084834978
1959.483520508	2748.557646487
1959.486328125	2746.025086903
1959.489013672	2743.487888647
1959.491821289	2740.945563437
1959.494506836	2738.398355415
1959.497314453	2735.846264580
1959.500000000	2733.288802652
1959.502685547	2730.726702052
1959.505493164	2728.159474499
1959.508178711	2725.587119992
1959.510986328	2723.010126814
1959.513671875	2720.428250823
1959.516479492	2717.841247880
1959.519165039	2715.249362123
1959.521972656	2712.652837695
1959.524658203	2710.050942173
1959.527343750	2707.444652120
1959.530151367	2704.832990973
1959.532836914	2702.217179435
1959.535644531	2699.595752663
1959.538330078	2696.970175500
1959.541137695	2694.338983103
1959.543823242	2691.702907894
1959.546630859	2689.062438153
1959.549316406	2686.417573881
1959.552001953	2683.766850234
1959.554809570	2681.112220337
1959.557495117	2678.452463487
1959.560302734	2675.787579684
1959.562988281	2673.118545490
1959.565795898	2670.444628483
1959.568481445	2667.765340383
1959.571289062	2665.082390174
1959.573974609	2662.394068870
1959.576660156	2659.700864755
1959.579467773	2657.003266108
1959.582153320	2654.300784648
1959.584960938	2651.593420376
1959.587646484	2648.881417432
1959.590454102	2646.165508238
1959.593139648	2643.444227951
1959.595947266	2640.718553132
1959.598632812	2637.987995501
1959.601318359	2635.253043338
1959.604125977	2632.513208363
1959.606811523	2629.768734716
1959.609619141	2627.020110678
1959.612304688	2624.266359687
1959.615112305	2621.508214165
1959.617797852	2618.745918253
1959.620605469	2615.978983668
1959.623291016	2613.206677990
